City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
127,Soe,ID,66.34,overcast clouds,-9.8607,124.284,Dena Hotel
128,Atuona,PF,78.75,few clouds,-9.8,-139.0333,Villa Enata
129,Puerto Ayora,EC,82.36,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
131,Allonnes,FR,69.84,clear sky,47.9674,0.1581,ibis Styles Le Mans Centre Gare
132,Hobart,AU,62.46,overcast clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
134,Victoria,HK,69.85,overcast clouds,22.2855,114.1577,Mini Hotel Central
135,General Roca,AR,70.63,clear sky,-39.0333,-67.5833,Hotel El Recreo
138,Pisco,PE,72.01,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
141,Qurayyat,SA,68.18,clear sky,31.3318,37.3428,Resorts Kandel
145,Kimberley,ZA,85.69,few clouds,-28.7323,24.7623,Welgewandel Guesthouse
148,Chuy,UY,77.02,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
153,Mahebourg,MU,82.69,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
154,Hualmay,PE,73.78,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
156,Zaraza,VE,85.15,broken clouds,9.3503,-65.3245,Hotel Zaraza
158,Bambous Virieux,MU,82.65,few clouds,-20.3428,57.7575,Casa Tia Villa
160,Meulaboh,ID,79.75,overcast clouds,4.1363,96.1285,Kost Pria
162,Airai,TL,60.82,overcast clouds,-8.9266,125.4092,
166,Puquio,PE,60.64,broken clouds,-14.7,-74.1333,Hostal Jousef
167,Ponta Do Sol,PT,66.83,scattered clouds,32.6667,-17.1,Hotel do Campo
168,Port Macquarie,AU,65.89,light rain,-31.4333,152.9167,Rydges Port Macquarie
169,Aguimes,ES,74.03,broken clouds,27.9054,-15.4461,Hotel Villa de Aguimes
171,Karratha,AU,83.03,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
172,Ilheus,BR,80.42,broken clouds,-14.7889,-39.0494,Barravento Hotel
174,Hithadhoo,MV,83.1,clear sky,-0.6,73.0833,Scoop Guest House
179,Tucurui,BR,84.31,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
180,Puerto Escondido,MX,83.5,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
183,Kalmunai,LK,81.23,clear sky,7.4167,81.8167,VS Villa
184,Alora,ES,64.9,broken clouds,36.8236,-4.7058,Apartments Vientos de Santa María
185,Emerald,AU,69.94,scattered clouds,-23.5333,148.1667,The Irish Village
186,Noumea,NC,80.01,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
188,Amahai,ID,77.2,moderate rain,-3.3333,128.9167,HOTEL ISABELA
189,Isangel,VU,77.23,broken clouds,-19.55,169.2667,Tanna Lodge
192,Eydhafushi,MV,83.01,few clouds,5.1033,73.0708,Soneva Fushi
193,Kyotera,UG,76.1,overcast clouds,-0.6156,31.5175,NEW PARADISE GUEST HOUSE
194,Celestun,MX,74.05,clear sky,20.8667,-90.4,Posada Lilia
196,Santo Antonio Do Monte,BR,82.18,clear sky,-20.0872,-45.2936,Hotel Planalto
197,Vaitape,PF,80.78,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
198,Nizwa,OM,87.98,clear sky,22.9333,57.5333,Orient Apartments
200,Northam,GB,63.25,clear sky,51.0333,-4.2167,Durrant House Hotel
203,Sola,VU,82.65,overcast clouds,-13.8833,167.55,Leumerus Bungalows
204,Quatre Cocos,MU,82.51,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
205,Avarua,CK,80.65,scattered clouds,-21.2078,-159.775,Paradise Inn
206,Gerash,IR,78.94,clear sky,27.6652,54.1371,Sa'adat House Gerash
207,Sinnamary,GF,81.3,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
208,Geraldton,AU,72.01,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
210,Sehithwa,BW,83.98,broken clouds,-20.4667,22.7167,MONLEK GUEST HOUSE
212,Alofi,NU,78.69,overcast clouds,-19.0595,-169.9187,Taloa Heights
213,San Patricio,US,69.89,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
214,Tevaitoa,PF,80.96,scattered clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
217,Teluknaga,ID,85.6,thunderstorm with rain,-6.0989,106.6381,Kost Mewah (Mepet Sawah)
218,Port-Gentil,GA,85.96,few clouds,-0.7193,8.7815,Fengshui Residence
220,San Matias,BO,81.27,overcast clouds,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
221,Salinopolis,BR,81.61,light rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
222,Bereda,ES,71.15,broken clouds,43.2686,-7.5406,Pazo de Verdes
223,Lasa,IT,66.69,scattered clouds,46.6166,10.7002,Pension Feldgärtenhof
224,Carnarvon,AU,77.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
226,Ambunti,PG,73.42,overcast clouds,-4.2365,142.8448,AMBUNTI HIDE INN
228,Isabela,PH,79.03,overcast clouds,6.7085,121.9711,Isawad Resort
229,Port Blair,IN,82.44,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
230,Saint-Philippe,RE,81.99,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
232,Les Cayes,HT,84.2,few clouds,18.2,-73.75,Villa Orphee
233,Mareeba,AU,70.52,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
234,Upata,VE,84.97,overcast clouds,8.0086,-62.3989,Posada Villa Nela
235,Tulsipur,NP,72.21,clear sky,28.131,82.2973,Ekanta Hotel Pvt. Ltd
236,Nuevo Progreso,MX,72.46,clear sky,23.1667,-97.95,Balneario Rio el Paraiso
237,Kalaleh,IR,62.96,few clouds,37.3807,55.4916,عطر و ادکلن پارسیس
238,Da Nang,VN,78.78,broken clouds,16.0678,108.2208,Grand Mercure Danang
