City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
118,Khatanga,RU,71.9667,102.5,-21.44,100,92,4.88,overcast clouds
119,Natal,BR,-5.795,-35.2094,77.65,100,40,3.44,scattered clouds
120,Pisco,PE,-13.7,-76.2167,71.65,73,0,18.41,clear sky
121,Rio Grande,BR,-32.035,-52.0986,70.86,66,1,0.36,clear sky
122,New Norfolk,AU,-42.7826,147.0587,62.92,61,93,2.26,light rain
123,San Patricio,US,28.017,-97.5169,84.29,44,99,17.58,overcast clouds
124,Solginskiy,RU,61.05,41.3428,14.65,92,100,10.16,overcast clouds
125,Homer,US,59.6425,-151.5483,34.77,88,100,12.66,light snow
126,Juba,SS,4.8517,31.5825,77.54,71,99,7.27,overcast clouds
127,Lanzhou,CN,36.0564,103.7922,45.37,41,8,4.0,clear sky
128,Nikolskoye,RU,59.7035,30.7861,25.72,85,100,8.99,light snow
129,Three Hills,CA,51.7001,-113.2686,46.65,45,100,6.51,overcast clouds
130,Margate,GB,51.3813,1.3862,46.31,90,1,1.01,clear sky
131,Doka,SD,13.5167,35.7667,80.82,34,3,8.72,clear sky
132,Alugan,PH,12.2188,125.4808,80.17,84,100,10.13,overcast clouds
133,Ostrovnoy,RU,68.0531,39.5131,18.79,78,100,5.73,overcast clouds
134,Madera,US,37.1666,-119.8343,79.45,25,100,14.83,overcast clouds
135,Tessalit,ML,20.1986,1.0114,82.44,12,29,7.94,scattered clouds
136,Fortuna,US,40.5982,-124.1573,64.92,71,0,8.05,clear sky
137,Clyde River,CA,70.4692,-68.5914,-1.66,95,99,4.45,overcast clouds
138,Muriwai Beach,NZ,-36.8167,174.45,70.95,54,0,9.64,clear sky
139,Alice Springs,AU,-23.7,133.8833,69.22,32,1,0.0,clear sky
140,Leningradskiy,RU,69.3833,178.4167,-0.85,83,14,2.91,few clouds
141,Rota,ES,36.6224,-6.3586,61.21,72,75,24.16,broken clouds
142,Buala,SB,-8.145,159.5921,81.57,81,100,5.06,moderate rain
143,Nicoya,CR,10.1483,-85.452,89.35,39,88,7.67,overcast clouds
144,Lavrentiya,RU,65.5833,-171.0,15.78,77,69,3.0,broken clouds
145,Sheopur,IN,25.6667,76.7,78.35,13,2,2.1,clear sky
146,Kupang,ID,-10.1667,123.5833,78.76,86,89,2.86,overcast clouds
147,Carnarvon,AU,-24.8667,113.6333,68.07,88,2,5.75,clear sky
148,Faanui,PF,-16.4833,-151.75,82.02,72,18,12.77,few clouds
149,Vestmannaeyjar,IS,63.4427,-20.2734,43.45,84,100,26.49,overcast clouds
150,Ribeira Grande,PT,38.5167,-28.7,60.15,85,100,16.98,overcast clouds
151,Kamaishi,JP,39.2667,141.8833,42.46,66,30,14.18,scattered clouds
