City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
430,Maxixe,40,MZ,2022-03-27 18:37:16,94,-23.8597,35.3472,75.02,3.44
431,Maniitsoq,45,GL,2022-03-27 18:37:17,76,65.4167,-52.9,29.64,1.39
432,Dolores,1,AR,2022-03-27 18:37:17,31,-36.3132,-57.6792,79.9,14.12
433,Mancio Lima,100,BR,2022-03-27 18:37:18,94,-7.6142,-72.8958,77.07,2.3
434,Gawler,100,AU,2022-03-27 18:36:13,45,-34.6,138.7333,67.48,1.92
435,Kruisfontein,100,ZA,2022-03-27 18:37:19,84,-34.0033,24.7314,70.88,9.98
436,Taksimo,100,RU,2022-03-27 18:33:11,88,56.3444,114.8794,9.57,3.53
437,Madang,89,PG,2022-03-27 18:37:20,89,-5.2246,145.7966,76.93,1.72
438,Poum,37,NC,2022-03-27 18:37:20,75,-20.2333,164.0167,80.26,14.09
439,Artyom,0,AZ,2022-03-27 18:37:21,59,40.4723,50.333,51.94,29.44
440,Cadillac,100,US,2022-03-27 18:37:22,53,44.2519,-85.4012,21.79,23.02
441,Sandpoint,0,US,2022-03-27 18:37:22,60,48.2766,-116.5533,57.85,9.22
442,Guanica,98,PR,2022-03-27 18:37:23,61,17.9716,-66.908,84.51,7.52
443,Pokhara,0,NP,2022-03-27 18:37:23,22,28.2333,83.9833,67.06,7.36
444,Krasnyy Chikoy,83,RU,2022-03-27 18:37:23,96,50.3643,108.7512,15.82,1.5
445,Lewiston,75,US,2022-03-27 18:37:25,57,44.1003,-70.2148,49.24,6.91
446,Verkhoyansk,50,RU,2022-03-27 18:37:25,99,67.5447,133.385,-17.39,2.26
447,Jinhua,100,CN,2022-03-27 18:37:26,96,29.1078,119.6547,49.73,1.7
448,Belmonte,12,BR,2022-03-27 18:37:26,66,-15.8631,-38.8828,82.74,8.23
449,Diamantina,64,BR,2022-03-27 18:37:27,57,-18.2494,-43.6003,77.22,6.38
450,Griffith,40,US,2022-03-27 18:33:35,54,41.5284,-87.4237,36.05,11.5
451,Genhe,100,CN,2022-03-27 18:37:28,95,50.7833,121.5167,13.46,2.91
452,Sault Sainte Marie,75,CA,2022-03-27 18:33:31,57,46.5168,-84.3333,12.49,24.16
453,Arlit,7,NE,2022-03-27 18:38:29,4,18.7369,7.3853,83.68,11.88
454,Ancud,50,CL,2022-03-27 18:38:29,74,-41.8697,-73.8203,54.23,15.37
455,Methven,0,NZ,2022-03-27 18:38:30,99,-43.6333,171.65,50.92,3.29
456,Celestun,0,MX,2022-03-27 18:38:30,48,20.8667,-90.4,80.65,10.07
457,Katima Mulilo,57,NA,2022-03-27 18:38:31,66,-17.5,24.2667,73.58,3.4
458,Dongsheng,6,CN,2022-03-27 18:38:31,35,39.8161,109.9776,33.03,9.06
459,Rimavska Sobota,8,SK,2022-03-27 18:34:17,57,48.3828,20.0224,52.66,2.73
460,Mahajanga,20,MG,2022-03-27 18:38:32,94,-15.7167,46.3167,78.82,1.14
461,Zhigansk,94,RU,2022-03-27 18:38:32,100,66.7697,123.3711,-3.51,2.37
462,The Valley,20,AI,2022-03-27 18:38:33,73,18.217,-63.0578,80.46,14.97
463,Mkushi,100,ZM,2022-03-27 18:38:33,97,-13.6202,29.3939,66.04,3.87
464,Heihe,56,CN,2022-03-27 18:38:34,87,50.2441,127.4902,21.78,3.65
465,Balabac,89,PH,2022-03-27 18:38:34,84,7.9868,117.0645,78.8,3.6
466,Sorong,100,ID,2022-03-27 18:38:35,81,-0.8833,131.25,80.15,0.89
467,Little Current,100,CA,2022-03-27 18:38:35,50,45.9793,-81.9248,18.41,16.28
468,Ust-Omchug,84,RU,2022-03-27 18:38:36,100,61.15,149.6333,-18.09,3.98
469,Pisco,0,PE,2022-03-27 18:38:36,57,-13.7,-76.2167,77.05,5.75
470,Camacupa,100,AO,2022-03-27 18:38:36,97,-12.0167,17.4833,63.21,3.98
471,Saint-Leu,63,RE,2022-03-27 18:38:37,82,-21.15,55.2833,77.86,4.25
472,Alakurtti,37,RU,2022-03-27 18:38:37,89,66.9672,30.3491,14.31,1.5
473,Mehamn,96,NO,2022-03-27 18:38:38,72,71.0357,27.8492,21.11,3.56
474,Wajid,93,SO,2022-03-27 18:38:38,26,3.8093,43.2471,86.61,10.98
475,Tautira,63,PF,2022-03-27 18:38:39,75,-17.7333,-149.15,81.48,15.03
476,Banjarmasin,84,ID,2022-03-27 18:38:39,94,-3.3244,114.591,73.54,1.36
477,Samana,40,DO,2022-03-27 18:38:40,62,19.2056,-69.3369,89.82,6.91
478,Baker City,0,US,2022-03-27 18:37:34,50,44.7749,-117.8344,58.64,0.0
479,Poronaysk,100,RU,2022-03-27 18:38:41,81,49.2167,143.1167,25.88,9.48
480,Pemangkat,100,ID,2022-03-27 18:38:41,88,1.1667,108.9667,76.51,3.85
481,Kutum,0,SD,2022-03-27 18:38:42,9,14.2,24.6667,68.07,15.9
482,Price,0,US,2022-03-27 18:38:42,15,39.5994,-110.8107,69.12,8.05
483,Tessalit,30,ML,2022-03-27 18:38:43,9,20.1986,1.0114,88.97,10.25
484,Armidale,100,AU,2022-03-27 18:33:55,98,-30.5167,151.65,56.64,3.13
485,Bathsheba,20,BB,2022-03-27 18:38:44,58,13.2167,-59.5167,86.61,19.57
486,Hanzhong,6,CN,2022-03-27 18:38:44,69,33.0728,107.0303,53.22,1.16
487,Caravelas,1,BR,2022-03-27 18:38:45,63,-17.7125,-39.2481,82.92,8.86
488,Athens,0,GR,2022-03-27 18:35:46,68,37.9795,23.7162,59.18,1.01
489,Imbituba,8,BR,2022-03-27 18:38:45,67,-28.24,-48.6703,74.71,6.55
490,Sao Filipe,100,CV,2022-03-27 18:38:46,73,14.8961,-24.4956,70.84,11.79
491,Chunoyar,100,RU,2022-03-27 18:38:46,100,57.4467,97.3217,-0.4,3.65
492,Liverpool,40,GB,2022-03-27 18:34:56,72,53.4106,-2.9779,59.29,5.75
493,Berkakit,100,RU,2022-03-27 18:38:47,97,56.5807,124.7681,6.87,4.88
494,Monrovia,100,LR,2022-03-27 18:38:47,82,6.3005,-10.7969,83.97,10.54
495,Tomatlan,69,MX,2022-03-27 18:38:48,18,19.9333,-105.25,91.85,9.69
496,Carballo,100,ES,2022-03-27 18:38:48,71,43.213,-8.691,65.62,1.19
497,Necochea,0,AR,2022-03-27 18:38:49,59,-38.5473,-58.7368,67.53,18.07
498,Daman,23,IN,2022-03-27 18:38:49,74,20.4167,72.85,79.68,3.83
499,Isangel,17,VU,2022-03-27 18:37:47,86,-19.55,169.2667,77.09,7.34
500,Kassala,8,SD,2022-03-27 18:38:50,38,15.451,36.4,80.92,11.48
501,San Patricio,100,US,2022-03-27 18:39:50,34,28.017,-97.5169,84.29,16.55
502,Wewak,99,PG,2022-03-27 18:39:51,85,-3.5534,143.6268,78.67,7.05
503,Ondjiva,12,AO,2022-03-27 18:39:51,38,-17.0667,15.7333,73.78,4.85
504,Lazaro Cardenas,68,MX,2022-03-27 18:38:07,34,17.9583,-102.2,85.59,9.55
505,Mayo,100,US,2022-03-27 18:39:52,46,38.8876,-76.5119,45.55,16.11
506,Tieli,85,CN,2022-03-27 18:39:52,82,46.95,128.05,28.42,4.43
507,Bartica,100,GY,2022-03-27 18:39:53,58,6.4,-58.6167,86.32,7.2
508,Salaya,5,IN,2022-03-27 18:39:53,62,22.3167,69.6,79.59,10.92
509,Ekhabi,100,RU,2022-03-27 18:39:54,87,53.5102,142.9671,14.88,20.85
510,Valdosta,0,US,2022-03-27 18:39:54,25,30.8327,-83.2785,75.11,14.97
511,Kokkola,100,FI,2022-03-27 18:39:55,91,63.8385,23.1307,25.03,16.11
512,Sampit,91,ID,2022-03-27 18:39:55,97,-2.5333,112.95,74.5,1.52
513,Sept-Iles,100,CA,2022-03-27 18:39:56,89,50.2001,-66.3821,35.06,2.3
514,Suwannaphum,100,TH,2022-03-27 18:39:56,77,15.6035,103.8021,78.85,10.09
515,Walvis Bay,10,NA,2022-03-27 18:39:57,83,-22.9575,14.5053,63.09,5.93
516,Quesnel,100,CA,2022-03-27 18:36:12,93,52.9999,-122.5029,36.1,8.05
517,Springdale,0,US,2022-03-27 18:35:48,35,36.1867,-94.1288,62.55,13.8
518,Quincy,75,US,2022-03-27 18:39:29,45,42.2529,-71.0023,51.12,13.8
