City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
135,General Roca,AR,-39.0333,-67.5833,70.63,28,0,17.2,clear sky
136,Jumla,NP,29.2747,82.1838,50.14,46,2,5.26,clear sky
137,Katsuura,JP,35.1333,140.3,57.11,84,100,15.41,overcast clouds
138,Pisco,PE,-13.7,-76.2167,72.01,77,0,5.75,clear sky
139,Chokurdakh,RU,70.6333,147.9167,-4.92,100,100,5.44,overcast clouds
140,Pinsk,BY,52.1229,26.0951,40.12,34,95,14.03,overcast clouds
141,Qurayyat,SA,31.3318,37.3428,68.18,18,0,13.8,clear sky
142,Freeport,US,40.6576,-73.5832,46.09,50,20,20.71,few clouds
143,Mankono,CI,8.0586,-6.1897,100.51,24,47,6.08,scattered clouds
144,Ketchikan,US,55.3422,-131.6461,39.67,93,75,6.91,broken clouds
145,Kimberley,ZA,-28.7323,24.7623,85.69,23,20,11.5,few clouds
146,Svetlyy,RU,54.675,20.1347,46.45,51,99,9.69,overcast clouds
147,Redmond,US,47.674,-122.1215,49.73,88,100,1.54,overcast clouds
148,Chuy,UY,-33.6971,-53.4616,77.02,48,18,13.04,few clouds
149,San Quintin,MX,30.4833,-115.95,58.53,84,66,2.44,broken clouds
150,Narsaq,GL,60.9167,-46.05,41.22,60,100,11.79,light rain
151,Ancud,CL,-41.8697,-73.8203,53.22,67,53,12.1,broken clouds
152,Sitka,US,57.0531,-135.33,33.69,80,20,4.61,few clouds
153,Mahebourg,MU,-20.4081,57.7,82.69,74,20,4.61,few clouds
154,Hualmay,PE,-11.0964,-77.6139,73.78,74,36,9.28,scattered clouds
155,Agara,GE,42.0376,43.8238,36.84,82,79,14.34,broken clouds
156,Zaraza,VE,9.3503,-65.3245,85.15,54,78,10.71,broken clouds
157,Karlskoga,SE,59.3267,14.5239,48.38,63,100,8.99,overcast clouds
158,Bambous Virieux,MU,-20.3428,57.7575,82.65,74,20,4.61,few clouds
159,Pacifica,US,37.6138,-122.4869,53.53,89,100,11.5,mist
160,Meulaboh,ID,4.1363,96.1285,79.75,78,92,1.54,overcast clouds
161,Megion,RU,61.0296,76.1136,23.02,92,90,7.67,overcast clouds
162,Airai,TL,-8.9266,125.4092,60.82,94,100,0.49,overcast clouds
163,New Ulm,US,44.3125,-94.4605,19.56,59,0,8.05,clear sky
164,Saint-Augustin,CA,51.226,-58.6502,32.77,99,100,14.58,overcast clouds
165,Avigliano,IT,40.7329,15.72,52.66,41,100,6.8,light rain
166,Puquio,PE,-14.7,-74.1333,60.64,53,63,3.53,broken clouds
167,Ponta Do Sol,PT,32.6667,-17.1,66.83,68,35,7.16,scattered clouds
168,Port Macquarie,AU,-31.4333,152.9167,65.89,94,100,2.01,light rain
169,Aguimes,ES,27.9054,-15.4461,74.03,38,75,20.71,broken clouds
170,Yellowknife,CA,62.456,-114.3525,-5.58,89,20,8.05,few clouds
171,Karratha,AU,-20.7377,116.8463,83.03,67,100,9.55,overcast clouds
172,Ilheus,BR,-14.7889,-39.0494,80.42,94,75,5.75,broken clouds
173,Zhigansk,RU,66.7697,123.3711,-2.87,100,96,5.26,overcast clouds
174,Hithadhoo,MV,-0.6,73.0833,83.1,65,0,5.95,clear sky
175,Khasan,RU,42.4308,130.6434,37.99,49,0,15.55,clear sky
176,Korla,CN,41.7597,86.1469,52.56,38,70,8.81,broken clouds
177,Nuuk,GL,64.1835,-51.7216,30.81,64,0,11.5,clear sky
178,Bojnurd,IR,37.4747,57.329,55.35,30,20,6.91,few clouds
179,Tucurui,BR,-3.7661,-49.6725,84.31,76,94,4.14,overcast clouds
180,Puerto Escondido,MX,15.85,-97.0667,83.5,43,30,2.55,scattered clouds
181,Lodwar,KE,3.1191,35.5973,95.56,29,37,18.21,scattered clouds
182,Tasiilaq,GL,65.6145,-37.6368,35.76,74,99,9.69,overcast clouds
183,Kalmunai,LK,7.4167,81.8167,81.23,77,0,6.87,clear sky
184,Alora,ES,36.8236,-4.7058,64.9,68,81,14.29,broken clouds
185,Emerald,AU,-23.5333,148.1667,69.94,88,40,5.75,scattered clouds
186,Noumea,NC,-22.2763,166.4572,80.01,99,44,10.0,scattered clouds
187,Leshan,CN,29.5623,103.7639,57.54,76,0,2.33,clear sky
188,Amahai,ID,-3.3333,128.9167,77.2,89,100,5.99,moderate rain
189,Isangel,VU,-19.55,169.2667,77.23,86,75,7.7,broken clouds
190,Vardo,NO,70.3705,31.1107,26.64,61,100,10.67,light snow
191,Artvin,TR,41.1667,41.8333,36.88,86,87,3.13,overcast clouds
